type,name,parent
property,adms:identifier,dcat:Dataset
property,adms:status,dcat:Distribution
property,adms:versionNotes,dcat:Dataset
property,dcat:byteSize,dcat:Distribution
property,dcat:compressFormat,dcat:Distribution
property,dcat:downloadURL,dcat:Distribution
property,dcat:mediaType,dcat:Distribution
property,dcat:packageFormat,dcat:Distribution
property,dcat:spatialResolutionInMeters,dcat:Dataset
property,dcatap:availability,dcat:Distribution
property,dct:accessRights,dcat:Dataset
property,dct:accrualPeriodicity,dcat:Dataset
property,dct:creator,dcat:Dataset
property,dct:hasVersion,dcat:Dataset
property,dct:isReferencedBy,dcat:Dataset
property,dct:isVersionOf,dcat:Dataset
property,dct:issued,dcat:Dataset
property,dct:language,dcat:Dataset
property,dct:language,dcat:Distribution
property,dct:modified,dcat:Dataset
property,dct:rights,dcat:Distribution
property,dct:source,dcat:Dataset
property,dct:title,dcat:Distribution
property,dct:type,dcat:Dataset
property,foaf:page,dcat:Dataset
property,spdx:checksum,dcat:Distribution
