type,name,parent
class,adms:Identifier,
class,dcat:DataService,
class,dcat:Dataset,
class,dcat:DatasetSeries,
class,dcat:Distribution,
class,dcat:Relationship,
class,dcat:Resource,
class,dcterms:Frequency,
class,dcterms:LicenseDocument,
class,dcterms:LinguisticSystem,
class,dcterms:Location,
class,dcterms:MediaType,
class,dcterms:MediaTypeOrExtent,
class,dcterms:PeriodOfTime,
class,dcterms:ProvenanceStatement,
class,dcterms:RightsStatement,
class,dcterms:Standard,
class,eli:LegalResource,
class,foaf:Agent,
class,foaf:Document,
class,locn:Geometry,
class,ns1:Data,
class,odrl:Policy,
class,prov:Activity,
class,prov:Attribution,
class,skos:Concept,
class,spdx:Checksum,
class,vcard:Kind,
property,adms:identifier,dcat:Dataset
property,adms:sample,dcat:Dataset
property,adms:status,dcat:Distribution
property,adms:versionNotes,dcat:Dataset
property,dcat:accessService,dcat:Distribution
property,dcat:accessURL,dcat:Distribution
property,dcat:bbox,dcterms:Location
property,dcat:byteSize,dcat:Distribution
property,dcat:centroid,dcterms:Location
property,dcat:compressFormat,dcat:Distribution
property,dcat:contactPoint,dcat:Dataset
property,dcat:contactPoint,dcat:DatasetSeries
property,dcat:distribution,dcat:Dataset
property,dcat:downloadURL,dcat:Distribution
property,dcat:endDate,dcterms:PeriodOfTime
property,dcat:inSeries,dcat:Dataset
property,dcat:keyword,dcat:Dataset
property,dcat:landingPage,dcat:Dataset
property,dcat:mediaType,dcat:Distribution
property,dcat:packageFormat,dcat:Distribution
property,dcat:qualifiedRelation,dcat:Relationship
property,dcat:spatialResolutionInMeters,dcat:Dataset
property,dcat:spatialResolutionInMeters,dcat:Distribution
property,dcat:startDate,dcterms:PeriodOfTime
property,dcat:temporalResolution,dcat:Dataset
property,dcat:temporalResolution,dcat:Distribution
property,dcat:theme,dcat:Dataset
property,dcatap:applicablelegislation,dcat:Dataset
property,dcatap:applicablelegislation,dcat:DatasetSeries
property,dcatap:applicablelegislation,dcat:Distribution
property,dcatap:availability,dcat:Distribution
property,dcterms:accessRights,dcat:Dataset
property,dcterms:accrualPeriodicity,dcat:Dataset
property,dcterms:accrualPeriodicity,dcat:DatasetSeries
property,dcterms:conformsTo,dcat:Dataset
property,dcterms:conformsTo,dcat:Distribution
property,dcterms:creator,dcat:Dataset
property,dcterms:description,dcat:Dataset
property,dcterms:description,dcat:DatasetSeries
property,dcterms:description,dcat:Distribution
property,dcterms:format,dcat:Distribution
property,dcterms:hasVersion,dcat:Dataset
property,dcterms:identifier,dcat:Dataset
property,dcterms:isReferencedBy,dcat:Dataset
property,dcterms:isVersionOf,dcat:Dataset
property,dcterms:issued,dcat:Dataset
property,dcterms:issued,dcat:DatasetSeries
property,dcterms:issued,dcat:Distribution
property,dcterms:language,dcat:Dataset
property,dcterms:language,dcat:Distribution
property,dcterms:license,dcat:Distribution
property,dcterms:modified,dcat:Dataset
property,dcterms:modified,dcat:DatasetSeries
property,dcterms:modified,dcat:Distribution
property,dcterms:provenance,dcat:Dataset
property,dcterms:publisher,dcat:Dataset
property,dcterms:publisher,dcat:DatasetSeries
property,dcterms:relation,dcat:Dataset
property,dcterms:rights,dcat:Distribution
property,dcterms:source,dcat:Dataset
property,dcterms:spatial,dcat:Dataset
property,dcterms:spatial,dcat:DatasetSeries
property,dcterms:temporal,dcat:Dataset
property,dcterms:title,dcat:Dataset
property,dcterms:title,dcat:DatasetSeries
property,dcterms:title,dcat:Distribution
property,dcterms:type,dcat:Dataset
property,dcterms:type,dcterms:LicenseDocument
property,dcterms:type,foaf:Agent
property,foaf:name,foaf:Agent
property,foaf:page,dcat:Dataset
property,foaf:page,dcat:Distribution
property,locn:geometry,dcterms:Location
property,ns1:hasData,dcat:Dataset
property,odrl:hasPolicy,dcat:Distribution
property,owl:versionInfo,dcat:Dataset
property,prov:qualifiedAttribution,dcat:Dataset
property,prov:qualifiedRelation,dcat:Dataset
property,prov:wasGeneratedBy,dcat:Dataset
property,skos:notation,adms:Identifier
property,skos:prefLabel,skos:Concept
property,spdx:checksum,dcat:Distribution
property,time:hasBeginning,dcterms:PeriodOfTime
property,time:hasEnd,dcterms:PeriodOfTime
